postal_code,num_unique_hawker_500m,num_unique_hawker_1km,walking_dist_hawker_m
652453,1,1,583.0
650190,0,1,1346.0
650114,0,1,1208.0
650108,0,0,1393.0
650186,0,2,1080.0
650187,0,1,1166.0
650119,0,1,1040.0
651445,0,2,1692.0
653440,1,1,692.0
653461,1,1,296.0
650178,0,1,872.0
652441,1,1,537.0
652443,1,1,653.0
650183,0,1,959.0
652439,1,1,604.0
650165,0,2,1028.0
654461,1,1,373.0
653439,1,1,577.0
651443,1,1,680.0
653443,1,1,675.0
651464,1,1,352.0
652461,1,1,379.0
651461,1,1,396.0
652440,1,1,609.0
651442,1,1,553.0
650171,1,2,721.0
160038,2,7,26.0
650172,1,2,645.0
652442,1,1,622.0
650182,0,1,965.0
651446,0,3,837.0
650174,1,1,706.0
650173,1,1,709.0
653442,0,1,674.0
651449,1,1,525.0
652449,1,1,581.0
650622,0,1,1215.0
650623,0,1,1237.0
650103,0,0,1387.0
650286,0,0,2305.0
650254,0,0,2420.0
650257,0,0,2308.0
650243,0,0,2228.0
650201,0,0,1607.0
650202,0,0,1694.0
655290,0,0,2604.0
656288,0,0,2242.0
651288,0,0,2020.0
650289,0,0,2212.0
653289,0,0,2463.0
650532,0,1,957.0
650511,0,0,1733.0
650514,0,0,1458.0
650419,0,1,1189.0
650387,0,0,2056.0
650394,0,0,2263.0
650388,0,0,2018.0
650390,0,0,2130.0
650389,0,0,2075.0
650110,0,1,1291.0
650188,0,1,1361.0
650111,0,1,1313.0
650117,0,1,1124.0
650115,0,1,1167.0
650189,0,1,1389.0
650102,0,0,1424.0
650170,1,2,796.0
654440,0,1,778.0
650122,0,1,922.0
650120,0,1,1103.0
650125,0,1,971.0
650121,0,1,1050.0
650627,0,1,1163.0
650223,0,0,1837.0
650290,0,0,2544.0
650221,0,0,1912.0
650287,0,0,2340.0
