School_Name,Subject_Desc
ANG MO KIO SECONDARY SCHOOL,Higher Music
ANG MO KIO SECONDARY SCHOOL,Hindi Language
ANG MO KIO SECONDARY SCHOOL,Humanities (Geography)
ANG MO KIO SECONDARY SCHOOL,Humanities (History)
ANG MO KIO SECONDARY SCHOOL,Humanities (Literature in English)
ANG MO KIO SECONDARY SCHOOL,"Humanities (SS, Geography)"
ANG MO KIO SECONDARY SCHOOL,"Humanities (SS, History)"
ANG MO KIO SECONDARY SCHOOL,"Humanities (SS, Humanities Exposure Modules)"
ANG MO KIO SECONDARY SCHOOL,"Humanities (SS, Literature in English)"
ANG MO KIO SECONDARY SCHOOL,Japanese Language
ANG MO KIO SECONDARY SCHOOL,Literature in English
ANG MO KIO SECONDARY SCHOOL,Malay Language
ANG MO KIO SECONDARY SCHOOL,Malay Language (Special Programme)
ANG MO KIO SECONDARY SCHOOL,Malay Language Syllabus B
ANG MO KIO SECONDARY SCHOOL,Mathematics
ANG MO KIO SECONDARY SCHOOL,Music
ANG MO KIO SECONDARY SCHOOL,Nutrition and Food Science
ANG MO KIO SECONDARY SCHOOL,Physics
ANG MO KIO SECONDARY SCHOOL,Principles of Accounts
ANG MO KIO SECONDARY SCHOOL,Punjabi Language
ANG MO KIO SECONDARY SCHOOL,Science
ANG MO KIO SECONDARY SCHOOL,"Science (Chem, Bio)"
ANG MO KIO SECONDARY SCHOOL,"Science (Phy, Bio)"
ANG MO KIO SECONDARY SCHOOL,"Science (Phy, Chem)"
ANG MO KIO SECONDARY SCHOOL,Smart Electrical Technology
ANG MO KIO SECONDARY SCHOOL,Social Studies
ANG MO KIO SECONDARY SCHOOL,Tamil Language
ANG MO KIO SECONDARY SCHOOL,Urdu Language
ANGLICAN HIGH SCHOOL,Additional Mathematics
ANGLICAN HIGH SCHOOL,Appreciation of Chinese Culture
ANGLICAN HIGH SCHOOL,Arabic Language as 3rd Lang
ANGLICAN HIGH SCHOOL,Art
ANGLICAN HIGH SCHOOL,Bahasa Indonesia
ANGLICAN HIGH SCHOOL,Biology
ANGLICAN HIGH SCHOOL,Chemistry
ANGLICAN HIGH SCHOOL,Chinese Language
ANGLICAN HIGH SCHOOL,Chinese Language (Special Programme)
ANGLICAN HIGH SCHOOL,Computing
ANGLICAN HIGH SCHOOL,Design and Technology
ANGLICAN HIGH SCHOOL,English Language
ANGLICAN HIGH SCHOOL,Food & Consumer  Education
ANGLICAN HIGH SCHOOL,French Language
ANGLICAN HIGH SCHOOL,Geography
ANGLICAN HIGH SCHOOL,German Language
ANGLICAN HIGH SCHOOL,Higher Art
ANGLICAN HIGH SCHOOL,Higher Chinese Language
ANGLICAN HIGH SCHOOL,Higher Music
ANGLICAN HIGH SCHOOL,History
ANGLICAN HIGH SCHOOL,Humanities (Geography)
ANGLICAN HIGH SCHOOL,Humanities (History)
ANGLICAN HIGH SCHOOL,Humanities (Literature in English)
ANGLICAN HIGH SCHOOL,"Humanities (SS, Geography)"
ANGLICAN HIGH SCHOOL,"Humanities (SS, History)"
